ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2018-04-08T20:47:02Z,henwttch,"iOS 11.2.6 (iPhone9,1)",179172,US,99.203.15.132,unknown,bellyache,Billie Eilish,dont smile at me,spotify:track:1ni8ZTAY1GHXEFOGHl7fdg,,,,fwdbtn,trackdone,False,,False,1523218121383,False
2019-01-01T20:30:26Z,henwttch,"iOS 11.2.6 (iPhone9,1)",196280,US,24.15.102.177,unknown,Bubbly,Colbie Caillat,Coco,spotify:track:0rFOs9paloAvEtzwDX1Kmc,,,,trackdone,trackdone,False,,False,1546374428663,False
2019-12-12T19:05:56Z,henwttch,"iOS 13.1.3 (iPhone11,8)",203994,US,147.126.10.21,unknown,STFU!,Rina Sawayama,STFU!,spotify:track:2HqIsxXupkZX6x01rBLSfm,,,,trackdone,trackdone,True,,False,1576177330078,False
2020-11-05T19:15:18Z,henwttch,"iOS 13.7 (iPhone11,8)",213880,US,108.204.107.107,unknown,Beautiful (feat. Superfruit),Betty Who,The Valley,spotify:track:2cLXI67NxGWvNzTaSAComY,,,,trackdone,trackdone,True,,False,1604603503839,False
2019-08-19T15:29:16Z,henwttch,"iOS 12.3.1 (iPhone9,1)",107487,US,99.203.142.127,unknown,Fireworks,Mitski,Puberty 2,spotify:track:5ZGaGCHi0YrSvsjj6QwETb,,,,trackdone,endplay,True,,False,1566224250071,False
2020-09-14T03:36:17Z,henwttch,"iOS 13.7 (iPhone11,8)",178676,US,108.204.107.107,unknown,Swingin' Spathiphyllums,Mort Garson,Mother Earth's Plantasia,spotify:track:6ngMpsODrDefCklCwdBEhT,,,,trackdone,trackdone,False,,False,1600054398152,False
2020-03-23T01:18:15Z,henwttch,"iOS 13.3.1 (iPhone11,8)",159013,US,99.55.204.166,unknown,Mine,Slayyyter,Slayyyter,spotify:track:0HMco7zpjdsloHqToLjiLK,,,,trackdone,trackdone,True,,False,1584926135692,False
2017-12-25T21:33:33Z,henwttch,"iOS 10.3.2 (iPhone8,1)",719,US,24.15.102.177,unknown,How Long,Charlie Puth,How Long,spotify:track:32DGGj6KlNuBr6WaqRxpxi,,,,fwdbtn,fwdbtn,True,,False,1514237611822,False
2021-10-15T04:23:22Z,henwttch,"iOS 14.7.1 (iPhone11,8)",171897,US,207.237.209.35,unknown,Anthony Kiedis,Remi Wolf,Juno,spotify:track:3xJu5hrOU9OvFQSGLQiwQS,,,,trackdone,trackdone,False,,False,1634271629944,False
2016-04-03T17:58:41Z,henwttch,"iOS 9.3 (iPhone8,1)",533,US,67.184.131.189,unknown,Feedback,Kanye West,The Life Of Pablo,spotify:track:6G16j2Y8y2fMqvxMYFItvW,,,,fwdbtn,fwdbtn,False,,False,0,False
2020-02-06T19:39:35Z,henwttch,"iOS 13.3 (iPhone11,8)",143921,US,147.126.10.156,unknown,gecgecgec,100 gecs,1000 gecs,spotify:track:29XGg8g4O7x8nUWPUfodM0,,,,trackdone,trackdone,False,,False,1581014675052,False
2018-12-30T01:01:10Z,henwttch,"iOS 11.2.6 (iPhone9,1)",68562,US,99.203.14.150,unknown,Edit,Regina Spektor,Begin to Hope,spotify:track:6c3p4BDn61s1FfR6gJLZap,,,,trackdone,fwdbtn,True,,False,1546131290920,False
2016-01-23T19:29:47Z,henwttch,"iOS 9.2 (iPhone8,1)",10009,US,67.184.131.189,unknown,Chandelier - Four Tet Remix,Sia,1000 Forms Of Fear (Deluxe Version),spotify:track:067Zyh0CDMzfAC9Miazlsm,,,,trackdone,fwdbtn,True,True,False,0,False
2019-11-18T19:43:18Z,henwttch,"iOS 13.1.3 (iPhone11,8)",221880,US,147.126.10.21,unknown,Cyber Stockholm Syndrome,Rina Sawayama,RINA,spotify:track:7bgwME1OmdDy9iUwYYwzts,,,,trackdone,trackdone,False,,False,1574105975512,False
2020-07-05T22:04:07Z,henwttch,"iOS 13.5.1 (iPhone11,8)",152880,US,166.175.189.248,unknown,Tipsy,Chloe x Halle,Ungodly Hour,spotify:track:5GXuUITCCWAG4h8ABnQ8ve,,,,trackdone,trackdone,False,,False,1593986493730,False
2018-12-23T02:25:03Z,henwttch,"iOS 11.2.6 (iPhone9,1)",206360,US,24.15.102.177,unknown,Grandma Got Run over by a Reindeer,Elmo & Patsy,Grandma Got Run Over By A Reindeer,spotify:track:49iHYFjT5yO6WEw6KerX9o,,,,trackdone,trackdone,True,,False,1545531696401,False
2017-06-01T20:09:55Z,henwttch,"iOS 9.3.5 (iPhone8,1)",235773,US,66.87.77.191,unknown,Dear Prudence - Remastered 2009,The Beatles,The Beatles,spotify:track:5NQYyej46WQkgCbnzGD21W,,,,clickrow,trackdone,False,,False,0,False
2020-08-07T03:24:15Z,henwttch,"iOS 13.5.1 (iPhone11,8)",5342,US,108.204.107.107,unknown,FIND YOUR WAY BACK - MELO-X Remix,Beyoncé,The Lion King: The Gift [Deluxe Edition],spotify:track:1g0k1bFcLKyIrdsdUkF3eW,,,,trackdone,fwdbtn,True,,False,1596770647934,False
2019-03-30T06:24:44Z,henwttch,"iOS 12.1.2 (iPhone9,1)",179613,US,147.126.10.153,unknown,Daydream Believer,The Monkees,"The Birds, The Bees, & The Monkees",spotify:track:7uEcCGtM1FBBGIhPozhJjv,,,,clickrow,trackdone,False,,False,1553926899979,False
2019-09-11T00:47:01Z,henwttch,"iOS 12.4.1 (iPhone11,8)",161962,US,166.170.222.185,unknown,Small Talk,Katy Perry,Small Talk,spotify:track:4NmE2ytXI8S2svTRSmEdpO,,,,fwdbtn,trackdone,True,,False,1568162659566,False
2019-10-19T18:49:40Z,henwttch,"iOS 13.1.2 (iPhone11,8)",393524,US,147.126.10.156,unknown,Sorry - Homecoming Live,Beyoncé,HOMECOMING: THE LIVE ALBUM,spotify:track:1GWk2MHsycvbyOFaWFiOMk,,,,clickrow,trackdone,False,,False,1571510587314,False
2018-07-12T05:40:26Z,henwttch,"iOS 11.2.6 (iPhone9,1)",181626,US,24.15.102.177,unknown,Right Now,Rihanna,Unapologetic,spotify:track:28OX5qT45GZBuu8CNKBOj6,,,,trackdone,trackdone,True,,False,1531373843428,False
2019-03-09T12:30:40Z,henwttch,"iOS 12.1.2 (iPhone9,1)",56545,US,147.126.10.153,unknown,F.U.B.U. (feat. The-Dream & BJ The Chicago Kid),Solange,A Seat at the Table,spotify:track:2aR6SYRJxy2QsBxA459ATF,,,,trackdone,unexpected-exit-while-paused,False,,False,1552118367340,False
2018-01-09T22:42:52Z,henwttch,"iOS 10.3.2 (iPhone8,1)",227666,US,99.203.143.190,unknown,Irreplaceable,Beyoncé,B'Day,spotify:track:1G7DcLzPnopdZjLkev0K4e,,,,trackdone,trackdone,True,,False,1515537543483,False
2019-06-16T05:21:02Z,henwttch,"iOS 12.3.1 (iPhone9,1)",106031,US,73.36.189.15,unknown,Partition - Homecoming Live,Beyoncé,HOMECOMING: THE LIVE ALBUM,spotify:track:1XTQkWboabpxxyR7iMKsEJ,,,,fwdbtn,trackdone,False,,False,1560662356711,False
2018-12-31T23:14:44Z,henwttch,"iOS 11.2.6 (iPhone9,1)",1741,US,99.203.15.21,unknown,Heart Of Glass - Remix,Blondie,Once More Into The Bleach,spotify:track:5Q8SPijJts3lV4fcmCrZXp,,,,fwdbtn,fwdbtn,True,,False,1546298082414,False
2020-09-17T22:44:58Z,henwttch,"iOS 13.7 (iPhone11,8)",25936,US,108.204.107.107,unknown,Honey,Robyn,Honey,spotify:track:3olYZQTYOLYNImERBnZZqm,,,,appload,fwdbtn,True,,False,1600382669852,False
2016-05-12T05:38:06Z,henwttch,"iOS 9.3.1 (iPhone8,1)",63901,US,66.87.76.24,unknown,Stronger,Kanye West,Graduation,spotify:track:6C7RJEIUDqKkJRZVWdkfkH,,,,fwdbtn,fwdbtn,False,,False,0,False
